year,unemployment_rate,gini,gdp_growth,homeownership_rate,violent_crime_rate,property_crime_rate,murder_rate,total_crime_rate,robbery_rate,aggravated_assault_rate,burglary_rate,poverty_rate,elite_polarization,voter_turnout_vep,geographic_mobility,incarceration_rate,trust_in_government,affective_polarization,police_per_capita,pct_male_15_29,voter_turnout_vep_observed,affective_polarization_observed,trust_in_government_observed,geographic_mobility_observed,pct_births_unmarried,alcohol_per_capita,inflation,female_lfp,foreign_born_pct,firearm_fss,overdose_rate
1970,4.983333333333333,0.394,0.2,64.175,363.5,3621,7.9,3984.5,172.1,164.8,1084.9,12.6,0.5598051547218214,47.3,19.1,96,54,24.8,NA,12.0398,TRUE,FALSE,TRUE,TRUE,10.7,2.5235,5.83825533848251,43.35,4.7,0.49923,3.8
1971,5.95,0.396,3.3,64.25,396,3768.8,8.6,4164.7,188,178.8,1163.5,12.5,0.5565739820565907,51.75,18.7,95,53.5,24.8,1.81,12.3501,FALSE,FALSE,FALSE,TRUE,11.3,2.5801,4.29276668813051,43.3583333333333,4.9,0.50996,3.5
1972,5.6,0.401,5.3,64.375,401,3560.4,9,3961.4,180.7,188.8,1140.8,11.9,0.5565739820565907,56.2,18.5,93,53,24.8,1.84,12.6517,TRUE,FALSE,TRUE,FALSE,12.4,2.5437,3.27227824655283,43.8833333333333,5,0.53383,3.4
1973,4.858333333333333,0.4,5.6,64.525,417.4,3737,9.4,4154.4,183.1,200.5,1222.5,11.1,0.5855612502426712,47.650000000000006,18.3,96,44.5,24.8,1.86,12.9267,FALSE,FALSE,FALSE,FALSE,13,2.6,6.17776006377038,44.7333333333333,5.2,0.53018,3.2
1974,5.641666666666667,0.395,-0.5,64.65,461.1,4389.3,9.8,4850.4,209.3,215.8,1437.7,11.2,0.5855612502426712,39.1,18.1,102,36,24.8,1.91,13.1954,TRUE,FALSE,TRUE,FALSE,13.2,2.6459,11.0548048048048,45.6666666666667,5.3,0.55854,3.2
1975,8.475,0.397,-0.2,64.6,487.8,4810.7,9.6,5298.5,220.8,231.1,1532.1,12.3,0.5830950894556528,46.95,17.9,111,35.5,24.8,1.93,13.4666,FALSE,FALSE,FALSE,FALSE,14.3,2.6666,9.14314686496535,46.35,5.5,0.54957,3.4
1976,7.7,0.398,5.4,64.725,467.8,4819.5,8.7,5287.3,199.3,233.2,1448.2,11.8,0.5830950894556528,54.8,17.7,120,35,24.8,1.89,13.6685,TRUE,FALSE,TRUE,TRUE,14.8,2.6583,5.74481263549085,47.3,5.6,0.54979,3.2
1977,7.05,0.402,4.6,64.8,475.9,4601.7,8.8,5077.6,190.7,247,1419.8,11.6,0.5759388692313483,46.9,17.599999999999998,129,33,24.8,1.88,13.7514,FALSE,FALSE,TRUE,FALSE,15.5,2.6049,6.5016839947284,48.4333333333333,5.8,0.56082,2.9
1978,6.066666666666666,0.402,5.5,64.95,497.8,4642.5,9,5140.4,195.8,262.1,1434.6,11.4,0.5759388692313483,39,17.5,131,31,24.8,1.89,13.786,TRUE,TRUE,TRUE,FALSE,16.3,2.6622,7.63096383885606,49.9583333333333,5.9,0.56368,2.6
1979,5.85,0.404,3.2,65.225,548.9,5016.6,9.8,5565.5,218.4,286,1511.9,11.7,0.5944363133372161,46.6,17.4,133,28,25.75,1.87,13.8022,FALSE,FALSE,TRUE,FALSE,17.1,2.698,11.2544711292795,50.9416666666667,6.1,0.57186,1.1
