indicator,type,expected_sign,posterior_mean,posterior_sd,q025,q975,sign_correct
unemployment_rate,positive,+,1.57749051114222,0.7117269850635412,0.3303137857500001,3.0918950074999985,TRUE
gini,positive,+,0.13637374987043308,0.14182006910420247,0.003274437397500001,0.5268709837499999,TRUE
geographic_mobility,positive,+,4.96095073208,0.9399157575975153,3.21792459,6.9098335725,TRUE
elite_polarization,positive,+,0.126758789575143,0.13084301075688856,0.00278888176,0.4779659922499998,TRUE
affective_polarization,positive,+,0.1167761019941977,0.11995792939772028,0.00297179883,0.44112411599999996,TRUE
poverty_rate,positive,+,1.45699925948311,0.6972153582135128,0.23714510600000002,2.96803947,TRUE
pct_births_unmarried,positive,+,0.1499011811487744,0.1535881092495815,0.0039972899050000005,0.5641480739999997,TRUE
alcohol_per_capita,positive,+,1.53189922213379,0.731704793727446,0.21109653775,3.092719215,TRUE
firearm_fss,positive,+,3.70814297013,0.7962461680874722,2.2692649425,5.3794214375,TRUE
overdose_rate,positive,+,0.11272176884042204,0.11823956398903461,0.0027458034825000002,0.42706754224999977,TRUE
homeownership_rate,negative,-,-1.18313747784511,0.6552324772398755,-2.6178687,-0.10519269375000036,TRUE
voter_turnout_vep,negative,-,-1.55243312577778,0.71475860585695306,-3.0606001124999995,-0.2699935545000003,TRUE
trust_in_government,negative,-,-0.1751675413568465,0.17538375569950218,-0.6462410157499999,-0.0048425265075,TRUE
police_per_capita,negative,-,-1.080949152107171,0.6419501500545756,-2.5306773225,-0.08501138910000007,TRUE
incarceration_rate,negative,-,-2.568490187436,0.7487998722532089,-4.1629119425,-1.223315895,TRUE
