scenario,scenario_name,year,crime_type,crime_label,pred_mean,pred_median,pred_q025,pred_q10,pred_q90,pred_q975
A,Structural Deterioration,2024,violent_crime_rate,Violent Crime,348.6785235746051,344.84873820676853,258.6873279325672,286.720646324836,415.2857011544012,458.96093782142043
A,Structural Deterioration,2025,violent_crime_rate,Violent Crime,358.250968773392,354.63579358905497,263.2128665821905,294.0236054461838,427.406497630971,471.1772006953006
A,Structural Deterioration,2026,violent_crime_rate,Violent Crime,367.5192071596326,364.1882357469643,269.74174952515875,300.41299202786934,439.55202556863867,487.75428963086
A,Structural Deterioration,2027,violent_crime_rate,Violent Crime,375.90174352977976,371.6385101241158,275.63761804103666,307.21773703621903,449.93128733381116,502.9947614188206
A,Structural Deterioration,2028,violent_crime_rate,Violent Crime,387.1248239377933,383.43150326161555,281.7781758042356,311.6601954597581,464.9383822441593,518.3927406313485
A,Structural Deterioration,2029,violent_crime_rate,Violent Crime,395.97011990630966,391.8572789972484,288.77263651604267,319.9724176793258,477.1608186220053,529.2846931145166
A,Structural Deterioration,2030,violent_crime_rate,Violent Crime,406.251500104122,400.80292493333866,290.4760025353563,326.56673094533727,492.5849427171016,547.1594964207922
A,Structural Deterioration,2031,violent_crime_rate,Violent Crime,416.52922984149853,411.0144533901173,300.45778624694066,334.0156866145143,505.80674736295515,562.8313961541289
A,Structural Deterioration,2032,violent_crime_rate,Violent Crime,426.4671963907429,420.18847224465327,302.9084742681724,339.1331968084906,520.1754775077717,584.3487807544374
A,Structural Deterioration,2033,violent_crime_rate,Violent Crime,436.9088799039474,431.3780343103533,309.0121778321399,348.3671997692472,533.0906421249356,594.8674308160967
A,Structural Deterioration,2024,property_crime_rate,Property Crime,1943.9462084922855,1937.0406372839977,1736.7811094288127,1804.0473170526466,2090.224535947581,2181.939991924422
A,Structural Deterioration,2025,property_crime_rate,Property Crime,2037.386829228714,2030.128772593596,1742.59151642019,1838.7716816118757,2248.1539244670166,2378.119367701946
A,Structural Deterioration,2026,property_crime_rate,Property Crime,2135.571110073363,2124.559983915453,1759.0983542971237,1882.4950267908935,2399.3156889800757,2586.1018909393597
A,Structural Deterioration,2027,property_crime_rate,Property Crime,2234.5714326868733,2217.9017804061186,1794.2745689941203,1931.3993249381404,2549.8194408296426,2761.7350127247287
A,Structural Deterioration,2028,property_crime_rate,Property Crime,2338.014192828854,2317.9599620932086,1823.245354543164,1988.0664446598648,2709.3221485172935,2961.496664022603
A,Structural Deterioration,2029,property_crime_rate,Property Crime,2444.8936603989946,2424.5328231089884,1858.1978656248173,2039.8932310488156,2879.320789606234,3176.5871549039066
A,Structural Deterioration,2030,property_crime_rate,Property Crime,2557.1788661873197,2531.6415785035215,1896.4750410680087,2102.5551625540243,3042.8774686784964,3377.9852862416014
A,Structural Deterioration,2031,property_crime_rate,Property Crime,2670.028526535276,2634.6539229627924,1931.896287159533,2160.049041037959,3214.129646348007,3574.0525255469524
A,Structural Deterioration,2032,property_crime_rate,Property Crime,2789.374625875145,2758.569948235603,1993.415780545214,2230.414551685253,3396.882538508597,3794.6543564969734
A,Structural Deterioration,2033,property_crime_rate,Property Crime,2908.2798386747954,2867.7147160685035,2035.3133027571585,2292.1796850258615,3573.8206263514235,4018.4236721180955
A,Structural Deterioration,2024,NA,NA,4.7449048392390125,4.654859001309199,3.176187593164508,3.63251674265795,5.9916229592149985,6.846595789646387
