scenario,scenario_name,year,E_mean,E_median,E_q025,E_q10,E_q90,E_q975
A,Structural Deterioration,2024,-0.37517777499102134,-0.3636353094486048,-0.5896354830051009,-0.494190466396399,-0.2698281419044249,-0.23128772650339796
A,Structural Deterioration,2025,-0.3485451813728459,-0.3367476457863595,-0.569027860534113,-0.4731126036391997,-0.2381267666484287,-0.1958523730019259
A,Structural Deterioration,2026,-0.3221877248354561,-0.31103128692820226,-0.5539134572475484,-0.4546461560584574,-0.20501064708968642,-0.16054978439231332
A,Structural Deterioration,2027,-0.2963875646821582,-0.2849953429101749,-0.5369392695883216,-0.4322330706438377,-0.17379350411218314,-0.12417592983574208
A,Structural Deterioration,2028,-0.27109892334448965,-0.2590823401144292,-0.5289232662021661,-0.41255608929394016,-0.14481418614061975,-0.09176549833782771
A,Structural Deterioration,2029,-0.24592087659215742,-0.2337692912840104,-0.5068619168570848,-0.39294283392797885,-0.11633721552529314,-0.059204799421988086
A,Structural Deterioration,2030,-0.22076941185988688,-0.2078487859458847,-0.48907412487933494,-0.3723158686367389,-0.08513649711873497,-0.027077506653312478
A,Structural Deterioration,2031,-0.1963432175754934,-0.1830080639834426,-0.46887619865992475,-0.3505359970716727,-0.05646919149062804,0.002378502242831262
A,Structural Deterioration,2032,-0.17183276345715207,-0.1577652076974564,-0.45239551002727907,-0.33059605649918333,-0.028475688922810397,0.03212839491838247
A,Structural Deterioration,2033,-0.148154146984296,-0.13517993813600587,-0.4329110807117901,-0.309251411038392,-0.0016969369175590498,0.05884445578546293
B,Status Quo (Mean Reversion),2024,-0.39741546440964504,-0.385395361944347,-0.6148193919451976,-0.5151169785648637,-0.2932392703654262,-0.25313652599026865
B,Status Quo (Mean Reversion),2025,-0.39316424100337927,-0.38151386741187776,-0.6201926551024025,-0.5162032712690132,-0.28245309047330014,-0.23920494910971973
B,Status Quo (Mean Reversion),2026,-0.3896300495041014,-0.3781150960927696,-0.6230303345629832,-0.519170366289966,-0.27430086787467467,-0.22416500029305406
B,Status Quo (Mean Reversion),2027,-0.3854112482681906,-0.3736113233094489,-0.6273087066993255,-0.5198188211270437,-0.2633027464929672,-0.21343532510844598
B,Status Quo (Mean Reversion),2028,-0.3813195395019554,-0.3678193781991068,-0.6302627330737706,-0.5233734625889922,-0.25484914001135983,-0.20114838642839128
B,Status Quo (Mean Reversion),2029,-0.3778192935669086,-0.3649689325663745,-0.6301992618756856,-0.5234795319964657,-0.24658989130877096,-0.18994144252477121
B,Status Quo (Mean Reversion),2030,-0.37376791611995724,-0.3599599492534152,-0.6392649765057387,-0.5241220025461305,-0.23760279979681173,-0.17492842164611583
B,Status Quo (Mean Reversion),2031,-0.37009904085437423,-0.3566225157752914,-0.6453978061334105,-0.5268637636545956,-0.2295464771286975,-0.16689470655903815
B,Status Quo (Mean Reversion),2032,-0.36636878451414717,-0.35255848773611576,-0.6505762648367064,-0.5280803440018714,-0.22003905273889304,-0.156593544289445
B,Status Quo (Mean Reversion),2033,-0.36248948531502434,-0.3493760646940973,-0.6563509652154889,-0.5292724208981805,-0.21170896831496933,-0.14551285937214867
C,Continued Compression,2024,-0.4189421446760932,-0.4076820613320493,-0.6321355651432203,-0.5371480265021789,-0.3131086348812868,-0.27459428089436516
C,Continued Compression,2025,-0.4356972964577099,-0.42546439344705933,-0.6555544300097069,-0.5616963125462309,-0.32405450586259055,-0.27921205348421135
C,Continued Compression,2026,-0.45216222705167536,-0.4397251920060742,-0.6852916572775072,-0.5844298358231755,-0.3353569421994769,-0.28678040390536047
C,Continued Compression,2027,-0.4682665489950191,-0.45624106844440526,-0.706522494046678,-0.6062304391170105,-0.3459533392769939,-0.2949891196136514
C,Continued Compression,2028,-0.4847733997375589,-0.47311152543461465,-0.7344878307069101,-0.6271800517214775,-0.35747818884736443,-0.3027989641570728
C,Continued Compression,2029,-0.5016099811479159,-0.48906517137534583,-0.7581290302663315,-0.6516108406391202,-0.3687895204364132,-0.3091128301864592
C,Continued Compression,2030,-0.5177116848691203,-0.5054433939670079,-0.7850102928376538,-0.6719789708609003,-0.38037552507206496,-0.31733002926531717
C,Continued Compression,2031,-0.5338664766247331,-0.5219722206414997,-0.8017702747141192,-0.6940302589257921,-0.39137520459692665,-0.32478710987541454
C,Continued Compression,2032,-0.5496390694711536,-0.5378744187991131,-0.831276374997648,-0.7134572686702266,-0.40045114487191386,-0.3303504857646718
C,Continued Compression,2033,-0.5658394222051164,-0.5541949904096395,-0.8511603735181087,-0.7354355213320141,-0.4111291766135976,-0.3394941360959559
