ori,pre_months,post_months,tot_n,att_pp,ci_lo_pp,ci_hi_pp,p,state
IL0100000,6,29,64,5.59494591552231,4.97652676141503,6.21336506962959,2.35493475089163e-70,IL
IL0100100,12,34,300,4.61132784518554,3.88453769607385,5.33811799429723,1.67101134051203e-35,IL
IL0100400,7,22,55,-12.0903696977213,-13.0507895382755,-11.1299498571671,2.0485901228522e-134,IL
IL0100600,10,34,130,-12.3926802470042,-13.1974980725092,-11.5878624214992,4.29442895072321e-200,IL
IL0160700,7,20,42,-28.6390937032174,-29.7742672427639,-27.5039201636709,0,IL
IL0162100,8,29,79,4.19787343021264,2.8767074521784,5.51903940824687,4.73317306931835e-10,IL
IL0162A00,6,16,38,37.021870828111,36.2051011180843,37.8386405381376,0,IL
IL0163200,10,35,169,-0.244693100815274,-1.14180543365226,0.652419232021708,0.592924768655919,IL
IL0164A00,11,35,176,-6.78525240330479,-7.5096054919688,-6.06089931464078,2.74802669221838e-75,IL
IL0165000,7,20,44,-36.7807862677282,-37.7964414667272,-35.7651310687292,0,IL
IL0165M00,6,17,28,16.4065564346965,15.5688529569851,17.2442599124079,1.11253692925361e-308,IL
IL0168000,7,21,41,34.4369348777018,33.6295259818613,35.2443437735423,0,IL
IL0190500,6,18,36,12.6977084169983,11.8768224970789,13.5185943369177,6.66657568338229e-202,IL
IL0190800,12,30,118,7.26677389057581,6.40483042761652,8.1287173535351,2.45911259398181e-61,IL
IL0380000,7,14,27,-3.65231724208566,-4.66680089700672,-2.6378335871646,1.70945020261768e-12,IL
IL0450200,6,17,30,-29.8826696696386,-30.6850300773462,-29.080309261931,0,IL
IL0450900,6,13,24,24.3071325087477,23.9136074106211,24.7006576068744,0,IL
IL0470000,6,25,48,15.9878479160349,15.1801073207587,16.795588511311,0,IL
IL0470300,6,16,33,-4.48954962491981,-5.14554051798426,-3.83355873185535,5.00070326639214e-41,IL
IL0540200,6,9,20,32.1237101550873,31.6071576234128,32.6402626867617,0,IL
IL0560100,6,12,20,12.9197134260473,11.9532093590092,13.8862174930855,2.64072918384951e-151,IL
IL0560500,8,14,28,27.6076171587572,26.7464248574026,28.4688094601118,0,IL
IL0570200,10,32,95,-3.51317889742648,-4.26870102777634,-2.75765676707662,7.93974228657631e-20,IL
