ori,pre_months,post_months,tot_n,att_pp,ci_lo_pp,ci_hi_pp,p,state,state_abb,pre_monthly_avg,volume_tercile,log_volume,att_se,precision
CO0010000,30,13,222,-9.60457986994198,-10.2223779382719,-8.98678180161209,6.29810986021624e-204,CO,co,5.5,High,1.87180217690159,0.315203096086677,9.96482498664401
CO0010100,31,17,1730,0.334349841077124,-0.300655155170719,0.969354837324967,0.302071724749437,CO,co,35.9166666666667,High,3.60866312025714,0.323982140942777,9.43712925345348
CO0010200,30,16,170,5.29852861930667,4.74628097893194,5.8507762596814,6.84897889271807e-79,CO,co,3.45454545454545,Medium,1.49392502531226,0.281759000191191,12.4396468470352
CO0010300,31,17,336,2.12553242107638,1.60688585850579,2.64417898364698,9.54836717406496e-16,CO,co,7.08333333333333,High,2.08980432871538,0.264615593148262,14.0802607257104
CO0010400,31,17,339,-12.3504299046088,-12.9360962782308,-11.7647635309869,0,CO,co,8.08333333333333,High,2.20644123244114,0.298809374296911,11.0757864693636
CO0010500,31,15,223,2.2055468018845,1.50172481730834,2.90936878646067,8.14909704321805e-10,CO,co,5.41666666666667,High,1.85889877206568,0.359092849273554,7.69540512842471
CO0010600,30,14,175,-10.8912195340763,-11.4386402954954,-10.3437987726573,0,CO,co,3.63636363636364,Medium,1.53393035992596,0.279296306846445,12.6571981260634
CO0010800,10,7,23,36.8554078235433,35.9782755147761,37.7325401323106,0,CO,co,1.25,Low,0.810930216216329,0.447516484064917,4.96842556832179
CO0020100,18,6,42,15.26781475718,14.3832939329038,16.1523355814562,6.72620506662513e-251,CO,co,1.25,Low,0.810930216216329,0.451286134834807,4.88617232814287
CO0030000,30,16,159,2.47733471038557,1.96591483067286,2.98875459009827,2.21686397833462e-21,CO,co,3.54545454545455,Medium,1.51412773262978,0.260928510057501,14.4751972311054
CO0030100,27,15,94,6.23401265760634,5.64177836300065,6.82624695221204,1.43225709065224e-94,CO,co,2.2,Medium,1.16315080980568,0.302160354390659,10.8341329198674
CO0030200,24,14,59,-3.49779821641238,-4.15462749455643,-2.84096893826833,1.67077333599386e-25,CO,co,1.16666666666667,Low,0.773189888233482,0.335116978644926,8.82586130482436
CO0030700,12,7,26,-26.7447822536111,-27.3557777040271,-26.133786803195,0,CO,co,1.5,Low,0.916290731874155,0.311732372661248,10.1856775512642
CO0031100,30,15,123,21.4015062638006,20.9794450722459,21.8235674553552,0,CO,co,3.16666666666667,Medium,1.42711635564015,0.215337342629925,21.110331166765
CO0070000,24,13,80,18.6427687124101,18.039320396451,19.2462170283692,0,CO,co,2.11111111111111,Medium,1.13497993283898,0.307881793856689,10.4393724116656
CO0070100,25,15,112,14.6804965031563,14.0046263814307,15.3563666248819,0,CO,co,2,Medium,1.09861228866811,0.344831694757947,8.33966468794939
CO0070300,25,15,92,-10.5018791173339,-11.1109555672249,-9.89280266744286,2.34284969756729e-250,CO,co,2.66666666666667,Medium,1.29928298413026,0.310753290760719,10.2493032614266
CO0070400,31,17,339,-1.40278924547407,-1.98007347866819,-0.82550501227994,1.90961818478571e-06,CO,co,6.5,High,2.01490302054226,0.294532772037819,11.3960693433316
CO0180000,31,17,484,0.790048398887521,0.0488500878466581,1.53124670992838,0.0366917447157861,CO,co,11.5,High,2.52572864430826,0.378162403592277,6.94411635950701
CO0180100,25,10,68,-12.4818875813332,-12.9510420447222,-12.0127331179441,0,CO,co,2.5,Medium,1.25276296849537,0.239364522137259,17.1540196678983
CO0180500,30,16,155,-4.59309119323144,-4.99108095870566,-4.19510142775723,2.76576448616408e-113,CO,co,3.16666666666667,Medium,1.42711635564015,0.203056002792966,23.6788726583518
CO0210000,31,17,534,0.127128335033032,-0.548030107979965,0.802286778046029,0.712085694778103,CO,co,11.9166666666667,High,2.55851846713125,0.344468593373978,8.35710848372141
CO0210100,31,17,1948,-3.52681531689167,-4.47348880645052,-2.58014182733281,2.83636624626296e-13,CO,co,35.1666666666667,High,3.5881378843124,0.482996678346356,4.26829127997255
CO0210200,28,15,115,0.339928789147876,-0.565528216193764,1.24538579448951,0.461835506990519,CO,co,2.90909090909091,Medium,1.36330484289519,0.461967859868183,4.6638679576769
CO0220100,26,7,66,-12.8911836818734,-13.5371457868707,-12.245221576876,0,CO,co,2.55555555555556,Medium,1.26851132546351,0.329572502549671,9.12258648987237
CO0230000,22,10,53,-28.2897408763782,-28.6783461504759,-27.9011356022806,0,CO,co,1.5,Low,0.916290731874155,0.198267996988602,24.8076177739035
CO0230300,14,8,30,-29.4664252740685,-30.3107885542255,-28.6220619939115,0,CO,co,1.33333333333333,Low,0.847297860387203,0.430797591916843,5.35944267434728
CO0260100,10,6,22,12.3073024182549,11.050151236468,13.5644536000417,4.65556925115433e-82,CO,co,1.25,Low,0.810930216216329,0.641403664176977,2.42483813837419
CO0300000,31,17,403,9.25356678285122,8.78079450979302,9.72633905590943,1.11253692925363e-308,CO,co,9.41666666666667,High,2.3434070875143,0.241210343397044,16.8969068020051
CO0300100,29,17,241,7.20364481766283,6.64026879162571,7.76702084369995,1.30262793385888e-138,CO,co,5.27272727272727,High,1.83621123179889,0.287436747978124,11.9588780934539
CO0300400,31,17,442,-4.98434725897909,-5.53978928754969,-4.42890523040849,3.0244611894384e-69,CO,co,8.83333333333333,High,2.28577797467766,0.283388790087041,12.2987303028439
CO0300500,20,11,55,16.5335871719701,15.8396241465305,17.2275501974097,0,CO,co,1.66666666666667,Low,0.980829253011726,0.354062768081412,7.91386901146027
CO0350000,28,14,102,-0.804272955197556,-1.63701971175522,0.0284738013601106,0.0583602039218139,CO,co,2,Medium,1.09861228866811,0.424870794162075,5.50918074932782
CO0350300,31,16,294,1.56011621138893,0.991922474798491,2.12830994797936,7.38004250986768e-08,CO,co,8.08333333333333,High,2.20644123244114,0.289894763566548,11.7593140371931
CO0350400,30,16,217,1.94592685395992,1.42962697977615,2.46222672814368,1.49939417934851e-13,CO,co,4.08333333333333,Medium,1.62596721438531,0.263418303154982,14.2067244034241
CO0360100,9,11,20,11.828117597693,11.152534123543,12.503701071843,4.57933339337212e-258,CO,co,1,Low,0.693147180559945,0.344685445994898,8.34668408540404
CO0380100,16,6,33,-11.0628327073618,-12.1128916045162,-10.0127738102073,9.87113802085715e-95,CO,co,2.14285714285714,Medium,1.145132304303,0.535744335282883,3.47195709022506
CO0390000,28,17,169,-9.23911425990969,-9.9616653982033,-8.51656312161609,1.2879571022757e-138,CO,co,4.2,High,1.64865862558738,0.368648539945716,7.30450873847872
CO0390100,31,16,183,-1.67439073811784,-2.29182885097713,-1.05695262525855,1.06541390151434e-07,CO,co,4.66666666666667,High,1.73460105538811,0.315019445336372,9.97633106077724
CO0390200,12,6,21,9.29310899497266,8.28372371189296,10.3024942780523,8.61538205832263e-73,CO,co,1.33333333333333,Low,0.847297860387203,0.51499249136719,3.75633036281638
CO0420100,14,9,32,5.19325911329599,4.25971984913345,6.12679837745853,1.1098245544333e-27,CO,co,1.2,Low,0.78845736036427,0.476295542940071,4.38870892896699
CO0430100,12,8,28,3.74780432762821,2.63749655976041,4.85811209549601,3.69272503885094e-11,CO,co,1.33333333333333,Low,0.847297860387203,0.566483555034593,3.10651991371167
CO0440200,20,6,38,-8.33766661092206,-9.39027265523709,-7.28506056660703,2.34594750989012e-54,CO,co,1.57142857142857,Low,0.944461608840851,0.537043900160729,3.45523218929513
CO0450100,14,9,31,-23.0025904572994,-23.7691736713478,-22.2360072432511,0,CO,co,1.2,Low,0.78845736036427,0.391113884718561,6.49476872145738
CO0510100,31,17,496,-6.90346292005656,-7.36519437241685,-6.44173146769626,9.10139965557625e-189,CO,co,9.16666666666667,High,2.31911439494526,0.235577271612394,17.7001642409566
CO0540100,13,8,25,1.84089106783966,0.943181911330347,2.73860022434897,5.83757008905803e-05,CO,co,1,Low,0.693147180559945,0.458014875770058,4.74433656433617
CO0620000,19,12,77,-8.70949617197512,-9.48522065113049,-7.93377169281975,2.52153692403599e-107,CO,co,2.36363636363636,Medium,1.21302263984585,0.395777795487433,6.34356507112607
CO0620100,17,6,39,-14.8136169113207,-15.6799576583262,-13.9472761643152,2.9968569657118e-246,CO,co,1.2,Low,0.78845736036427,0.442010585206884,5.092340493956
CO0620200,31,17,455,14.4088964479921,13.8130600914883,15.0047328044959,0,CO,co,9.75,High,2.37490575457367,0.303998141073383,10.7049338333086
CO0620400,23,14,65,3.80593004414965,2.94236664552746,4.66949344277185,5.71116401532797e-18,CO,co,1.44444444444444,Low,0.893817876022096,0.44059357072561,5.1249804756473
CO0621000,15,10,37,-11.2856233718834,-12.3272650879658,-10.2439816558011,4.48531299152969e-100,CO,co,1.6,Low,0.955511445027436,0.531449855144042,3.52809663307406
CO0640100,27,17,111,24.0457305214887,23.4593481641875,24.6321128787899,0,CO,co,2.66666666666667,Medium,1.29928298413026,0.299174672092442,11.0490541693749
CODPD0000,31,17,2390,-5.83154548109352,-6.47654935858253,-5.18654160360451,2.91007211788783e-70,CO,co,43.9166666666667,High,3.804808921121,0.329083610963781,9.14946374539731
